L'an	none
mil	OtherYear
quatre	OtherYear
cent	OtherYear
quarante	OtherYear
deux	OtherYear
le	none
quatre	OtherDay
août	OtherMonth
à	none
douze	none
heures	none
du	none
soir	none
par-devant	none
nous	none
Batcheva	OtherPerson
Gonde	OtherPerson
maire	none
et	none
officier	none
de	none
l'État	none
civil	none
de	none
la	none
Commune	none
de	none
Vaux-lès-Mouron	none
chef	none
lieu	none
du	none
canton	none
arrondissement	none
de	none
Mayenne	none
Département	none
de	none
l'Ardèche	none
est	none
comparu	none
Ai	OtherPerson
Say	OtherPerson
sage	none
femme	none
âgée	none
de	none
quatre	none
vingt	none
cinq	none
ans	none
domicilié	none
dans	none
la	none
commune	none
dudit	none
Vaux-lès-Mouron	none
laquelle	none
nous	none
a	none
présenté	none
un	none
enfant	none
du	none
sexe	none
féminin	SelfGender
qu'elle	none
déclare	none
être	none
né	none
en	none
son	none
domicile	none
au	none
quartier	none
d'Emilian	none
de	none
cette	none
commune	none
cejourd'hui	none
le	none
premier	BirthDay
juin	BirthMonth
à	none
dix	none
heures	none
du	none
soir	none
de	none
Sulyvann	FatherGivenName
Bergeot	FatherSurname
métallurgiste	none
âgé	none
de	none
soixante	FatherAge
dix	FatherAge
neuf	FatherAge
ans	none
domicilié	none
dans	none
la	none
commune	none
dudit	none
Vaux-lès-Mouron	none
et	none
de	none
Tahisse	MotherGivenName
Domiat	MotherSurname
garçon	none
de	none
cabine	none
âgée	none
de	none
dix	MotherAge
neuf	MotherAge
ans	none
et	none
auquel	none
enfant	none
elle	none
a	none
déclaré	none
vouloir	none
donner	none
les	none
prénoms	none
de	none
Taima	SelfGivenName
lesquelles	none
présentation	none
et	none
déclaration	none
faites	none
en	none
présence	none
de	none
Luc-Antoine	OtherPerson
Labouibe	OtherPerson
âgé	none
de	none
vingt	none
six	none
ans	none
et	none
de	none
Geoffroy	OtherPerson
Feldmann	OtherPerson
âgé	none
de	none
cinquante	none
quatre	none
ans	none
les	none
deux	none
domiciliés	none
dans	none
la	none
commune	none
dudit	none
Vaux-lès-Mouron	none
témoins	none
choisis	none
par	none
la	none
déclarant	none
et	none
ont	none
les	none
témoins	none
signé	none
avec	none
nous	none
le	none
présent	none
acte	none
de	none
naissance	none
après	none
qu'il	none
leur	none
en	none
a	none
été	none
fait	none
lecture	none
